,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration,simplified,Annotation
0,"Anthem Health Plans, Inc",7045593,2022-05-31,2022-06-02,Group,Health Only,Claim Handling,Medically Necessary,Company Position Substantiated,Company Position Upheld,0.0,Closed,2,Claim Settled,
1,"Anthem Health Plans, Inc",7043381,2022-02-28,2022-06-02,Group,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Satisfied,6467.3,Closed,94,Claim Settled,
2,"Anthem Health Plans, Inc",7044860,2022-05-03,2022-06-02,A & H,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,147.58,Closed,30,Claim Settled,
3,"Anthem Health Plans, Inc",7052007,2023-02-23,2023-03-17,A & H,A & H,Marketing & Sales,Duplicate Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed,22,Claim Settled,
4,"Anthem Health Plans, Inc",7048359,2022-10-03,2023-03-08,A & H,Health Only,Claim Handling,Provider Contract Issue,Company Position Overturned,,51094.84,Closed,156,Claim Dismissed,
5,GEICO General Insurance Company,7054688,2023-05-30,2023-06-15,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,16,Claim Settled,
6,UnitedHealthcare Insurance Company,7052741,2023-03-17,2023-05-02,A & H,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,1550.78,Closed,46,Claim Settled,
7,"Anthem Health Plans, Inc",7044266,2022-04-07,2022-06-02,A & H,Health Exchange,Claim Handling,Surprise Billing,Claim Settled,Furnished Information,0.0,Closed,56,Claim Settled,
8,Western World Insurance Company,7042656,2022-02-03,2022-06-02,Commercial Multi&ndash;Peril,Fire &ndash; Real Property,Claim Handling,Claim Delays,Claim Settled,Corrective Action,311596.73,Closed,119,Claim Settled,
9,Nationwide Mutual Insurance Company,7048101,2022-09-21,2023-03-17,Travel,,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Additional Money Received,35.52,Closed,177,Claim Settled,
10,"Anthem Health Plans, Inc",7044346,2022-04-11,2022-06-02,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed,52,Claim Settled,
11,Progressive Direct Insurance Company,7052160,2023-03-01,2023-03-17,Individual Private Passenger,Rental Reimbursement,Claim Handling,Adjuster Handling,Company Position Substantiated,,0.0,Closed,16,Claim Settled,
12,Kemper Independence Insurance Company,7052065,2023-02-27,2023-03-17,Individual Private Passenger,,Underwriting,Excessive Charges,Company Position Substantiated,,0.0,Closed,18,Claim Settled,
13,Citizens Insurance Company of America,7042884,2022-02-09,2022-06-02,Commercial Multi&ndash;Peril,Fire &ndash; Real Property,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0.0,Closed,113,Claim Settled,
14,"Anthem Health Plans, Inc",7045602,2022-06-01,2022-06-03,Group,Health Only,Claim Handling,Medically Necessary,Company Position Substantiated,Company Position Upheld,0.0,Closed,2,Claim Settled,
15,UnitedHealthcare Insurance Company,7049656,2022-11-23,2023-01-25,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed,63,Claim Settled,
16,"Anthem Health Plans, Inc",7049968,2022-12-08,2022-12-13,A & H,Medicare Supplement(Policies or Certs),PolicyHolder Service,Policy Information,No Action Requested/Required,Satisfactory Explanation,0.0,Closed,5,Claim Dismissed,
17,"Anthem Health Plans, Inc",7049689,2022-11-28,2023-01-25,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed,58,Claim Dismissed,
18,Transamerica Casualty Insurance Company,7052890,2023-03-24,2023-05-02,Individual,Long Term Care,Claim Handling,Claim Delay,Claim Settled,Claim Paid,25845.41,Closed,39,Claim Settled,
19,"Anthem Health Plans, Inc",7044602,2022-04-22,2022-06-03,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed,42,Claim Settled,
20,USAA General Indemnity Company,7052391,2023-03-09,2023-05-02,Individual Private Passenger,,Underwriting,Cancellation,Company Position Substantiated,,0.0,Closed,54,Claim Settled,
21,Guardian Life Insurance Company of America,7045183,2022-05-13,2022-06-03,,Dental,PolicyHolder Service,Delays/No Response,Company Position Substantiated,,0.0,Closed,21,Claim Settled,
22,Motor Club Insurance Company,7052889,2023-03-24,2023-06-15,Individual Private Passenger,Rental Reimbursement,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,83,Claim Settled,
23,Century&ndash;National Insurance Company,7043081,2022-02-16,2022-06-03,Homeowners,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0.0,Closed,107,Claim Settled,
24,Progressive Direct Insurance Company,7048406,2022-10-04,2022-12-13,Motorhome,Comprehensive,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0.0,Closed,70,Claim Settled,
25,AmGUARD Insurance Company,7050547,2023-01-06,2023-01-25,Commercial,Collision,Claim Handling,Unsatisfactory Offer,Company Position Substantiated,,0.0,Closed,19,Claim Settled,
26,"Oxford Health Insurance, Incorporated",7045035,2022-05-10,2022-06-03,Group,Health Only,Claim Handling,Internal Appeal,Company Position Substantiated,,0.0,Closed,24,Claim Settled,
27,Farmers Property and Casualty Insurance Company,7054476,2023-05-19,2023-06-15,Individual Private Passenger,,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,27,Claim Settled,
28,Allstate Insurance Company,7045238,2022-05-16,2022-06-06,Individual Life,Term,Marketing & Sales,Marketing/Sales other,Company Position Substantiated,Contract Provision,0.0,Closed,21,Claim Settled,
29,Trumbull Insurance Company,7053886,2023-05-01,2023-05-02,Homeowners,,Underwriting,Nonrenewal,Complaint Withdrawn,,0.0,Closed,1,Claim Dismissed,
30,Cigna Health and Life Insurance Company,7045389,2022-05-20,2022-06-06,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Granted,0.0,Closed,17,Claim Dismissed,
31,American General Life Insurance Company,7045172,2022-05-13,2022-06-06,Individual Life,Term,Marketing & Sales,Premiums Misquoted,Company Position Substantiated,Contract Provision,0.0,Closed,24,Claim Settled,
32,Cigna Health and Life Insurance Company,7053163,2023-04-04,2023-05-02,Group,Health Only,Claim Handling,"Co&ndash;pay, Deductible, and Co&ndash;Insurance Issues",Company Position Substantiated,,0.0,Closed,28,Claim Settled,
33,"Anthem Health Plans, Inc",7043327,2022-02-24,2022-06-06,Group,Health Only,Claim Handling,Eligibility of Provider,Claim Settled,Claim Paid,16383.32,Closed,102,Claim Settled,
34,Lincoln Benefit Life Company,7045204,2022-05-16,2022-06-06,Individual Life,Fixed,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Claim Paid With Interest,0.0,Closed,21,Claim Settled,
35,GEICO Indemnity Company,7052011,2023-02-24,2023-03-17,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Company Position Substantiated,,0.0,Closed,21,Claim Settled,
36,"Anthem Health Plans, Inc",7052896,2023-03-25,2023-05-02,A & H,,PolicyHolder Service,Credentialing Delay,Company Position Overturned,Provider Issue,0.0,Closed,38,Claim Dismissed,
