ID,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
0,"Anthem Health Plans, Inc",7045593,31 05 2022,2 06 2022,Group,Health Only,Claim Handling,Medically Necessary,Company Position Substantiated,Company Position Upheld,0,Closed,2
1,"Anthem Health Plans, Inc",7043381,28 02 2022,2 06 2022,Group,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Satisfied,6467.3,Closed,94
2,"Anthem Health Plans, Inc",7044860,3 05 2022,2 06 2022,A & H,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,147.58,Closed,30
4,"Anthem Health Plans, Inc",7052007,23 02 2023,17 03 2023,A & H,A & H,Marketing & Sales,Duplicate Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed,22
5,Metropolitan Life Insurance Company,7053748,26 04 2023,2 05 2023,Individual,Long Term Care,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Rate Increase Explained,0,Closed,6
7,"Anthem Health Plans, Inc",7048359,3 10 2022,8 03 2023,A & H,Health Only,Claim Handling,Provider Contract Issue,Company Position Overturned,Company Position Upheld,51094.84,Closed,156
8,GEICO General Insurance Company,7054688,30 05 2023,15 06 2023,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,16
10,Vigilant Insurance Company,7005924,18 08 2021,11 04 2022,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,236
11,UnitedHealthcare Insurance Company,7052741,17 03 2023,2 05 2023,A & H,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,1550.78,Closed,46
12,"Anthem Health Plans, Inc",7044266,7 04 2022,2 06 2022,A & H,Health Exchange,Claim Handling,Surprise Billing,Claim Settled,Furnished Information,0,Closed,56
13,Western World Insurance Company,7042656,3 02 2022,2 06 2022,Commercial Multi&ndash;Peril,Fire &ndash; Real Property,Claim Handling,Claim Delays,Claim Settled,Corrective Action,311596.73,Closed,119
14,"Anthem Health Plans, Inc",7053777,26 04 2023,15 06 2023,Group,A & H,Claim Handling,External Review,Company Position Substantiated,Company Position Upheld,0,Closed,50
15,Bankers Life and Casualty Company,7000032,10 01 2020,30 01 2020,Individual Life,Liability,Claim Handling,Other,Company Position Substantiated,Justified,0,Closed,20
18,Continental Casualty Company,7053553,19 04 2023,2 05 2023,Individual,A & H,Claim Handling,Medical Necessity,Question of Fact/Contract/Provision/Legal Issue,Coverage Denied,0,Closed,13
19,Nationwide Mutual Insurance Company,7048101,21 09 2022,17 03 2023,Travel,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Additional Money Received,35.52,Closed,177
21,Cigna Health and Life Insurance Company,7013857,23 01 2019,23 01 2019,Group,Health Only,Claim Handling,UR Case Management,Company Position Substantiated,Furnished Information,0,Closed,0
24,ConnectiCare Inc,7052648,15 03 2023,2 05 2023,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Furnished Information,0,Closed,48
27,"Anthem Health Plans, Inc",7049406,15 11 2022,15 06 2023,A & H,Health Only,Claim Handling,CPT Code Issue,Company Position Substantiated,Justified,15753.38,Closed,212
30,"Anthem Health Plans, Inc",7044346,11 04 2022,2 06 2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,52
31,State Farm Fire & Casualty Company,7052055,25 02 2023,17 03 2023,Homeowners,Hazard,Claim Handling,Claim Delays,Company Position Substantiated,Claim Paid,0,Closed,20
32,"Oxford Health Plans (CT), Inc",7051410,3 02 2023,17 03 2023,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,42
34,Progressive Direct Insurance Company,7052160,1 03 2023,17 03 2023,Individual Private Passenger,Rental Reimbursement,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0,Closed,16
36,Kemper Independence Insurance Company,7052065,27 02 2023,17 03 2023,Individual Private Passenger,Liability,Underwriting,Excessive Charges,Company Position Substantiated,Company Position Upheld,0,Closed,18
37,First American Title Insurance Company,7055051,13 06 2023,15 06 2023,Title,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,No Cause For Action,0,Closed,2
39,Citizens Insurance Company of America,7042884,9 02 2022,2 06 2022,Commercial Multi&ndash;Peril,Fire &ndash; Real Property,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0,Closed,113
43,CSAA General Insurance Company,7045113,12 05 2022,2 06 2022,Homeowners,Liability,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0,Closed,21
45,ACE American Insurance Company,7051644,13 02 2023,17 03 2023,General,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Corrective Action,0,Closed,32
51,"Anthem Health Plans, Inc",7053263,10 04 2023,2 05 2023,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0,Closed,22
52,"Anthem Health Plans, Inc",7045602,1 06 2022,3 06 2022,Group,Health Only,Claim Handling,Medically Necessary,Company Position Substantiated,Company Position Upheld,0,Closed,2
55,UnitedHealthcare Insurance Company,7049656,23 11 2022,25 01 2023,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0,Closed,63
57,"Anthem Health Plans, Inc",7049968,8 12 2022,13 12 2022,A & H,Medicare Supplement(Policies or Certs),PolicyHolder Service,Policy Information,No Action Requested/Required,Satisfactory Explanation,0,Closed,5
58,"Anthem Health Plans, Inc",7049689,28 11 2022,25 01 2023,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0,Closed,58
61,Transamerica Casualty Insurance Company,7052890,24 03 2023,2 05 2023,Individual,Long Term Care,Claim Handling,Claim Delay,Claim Settled,Claim Paid,25845.41,Closed,39
62,USAA Casualty Insurance Company,7054491,22 05 2023,15 06 2023,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Additional Money Received,1068,Closed,24
63,"Anthem Health Plans, Inc",7044602,22 04 2022,3 06 2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,42
67,Farmers Property and Casualty Insurance Company,7007502,10 09 2021,3 06 2022,Homeowners,Liability,Claim Handling,Claim Delays,Claim Settled,Claim Paid,0,Closed,266
68,USAA General Indemnity Company,7052391,9 03 2023,2 05 2023,Individual Private Passenger,Liability,Underwriting,Cancellation,Company Position Substantiated,Company Position Upheld,0,Closed,54
70,"ConnectiCare Benefits, Inc.",7049743,29 11 2022,13 12 2022,A & H,A & H,Underwriting,Premium & Rating,Company Position Substantiated,Satisfactory Explanation,0,Closed,14
71,Genworth Life Insurance Company,7048480,6 10 2022,27 10 2022,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Rate Increase Explained,0,Closed,21
75,Mobilitas Insurance Company,7054656,25 05 2023,15 06 2023,Individual Private Passenger,Collision,Claim Handling,Storage Fees,Company Position Substantiated,Justified,1063.5,Closed,21
77,Guardian Life Insurance Company of America,7045183,13 05 2022,3 06 2022,Individual Private Passenger,Dental,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Company Position Upheld,0,Closed,21
80,Motor Club Insurance Company,7052889,24 03 2023,15 06 2023,Individual Private Passenger,Rental Reimbursement,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,83
