,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
0,"Anthem Health Plans, Inc",7045593,5/31/2022,6/2/2022,Group,Health Only,Claim Handling,Medically Necessary,Company Position Substantiated,Company Position Upheld,0,Closed,2
1,"Anthem Health Plans, Inc",7043381,2/28/2022,6/2/2022,Group,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Satisfied,6467.3,Closed,94
2,"Anthem Health Plans, Inc",7044860,5/3/2022,6/2/2022,A & H,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,147.58,Closed,30
4,"Anthem Health Plans, Inc",7052007,2/23/2023,3/17/2023,A & H,A & H,Marketing & Sales,Duplicate Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed,22
5,Metropolitan Life Insurance Company,7053748,4/26/2023,5/2/2023,Individual,Long Term Care,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Rate Increase Explained,0,Closed,6
7,"Anthem Health Plans, Inc",7048359,10/3/2022,3/8/2023,A & H,Health Only,Claim Handling,Provider Contract Issue,Company Position Overturned,Company Position Upheld,51094.84,Closed,156
8,GEICO General Insurance Company,7054688,5/30/2023,6/15/2023,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,16
11,UnitedHealthcare Insurance Company,7052741,3/17/2023,5/2/2023,A & H,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,1550.78,Closed,46
12,"Anthem Health Plans, Inc",7044266,4/7/2022,6/2/2022,A & H,Health Exchange,Claim Handling,Surprise Billing,Claim Settled,Furnished Information,0,Closed,56
13,Western World Insurance Company,7042656,2/3/2022,6/2/2022,Commercial Multi&ndash;Peril,Fire &ndash; Real Property,Claim Handling,Claim Delays,Claim Settled,Corrective Action,311596.73,Closed,119
14,"Anthem Health Plans, Inc",7053777,4/26/2023,6/15/2023,Group,A & H,Claim Handling,External Review,Company Position Substantiated,Company Position Upheld,0,Closed,50
15,Bankers Life and Casualty Company,7000032,1/10/2020,1/30/2020,Individual Life,Liability,Claim Handling,Other,Company Position Substantiated,Justified,0,Closed,20
18,Continental Casualty Company,7053553,4/19/2023,5/2/2023,Individual,A & H,Claim Handling,Medical Necessity,Question of Fact/Contract/Provision/Legal Issue,Coverage Denied,0,Closed,13
19,Nationwide Mutual Insurance Company,7048101,9/21/2022,3/17/2023,Travel,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Additional Money Received,35.52,Closed,177
21,Cigna Health and Life Insurance Company,7013857,1/23/2019,1/23/2019,Group,Health Only,Claim Handling,UR Case Management,Company Position Substantiated,Furnished Information,0,Closed,0
24,ConnectiCare Inc,7052648,3/15/2023,5/2/2023,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Furnished Information,0,Closed,48
27,"Anthem Health Plans, Inc",7049406,11/15/2022,6/15/2023,A & H,Health Only,Claim Handling,CPT Code Issue,Company Position Substantiated,Justified,15753.38,Closed,212
30,"Anthem Health Plans, Inc",7044346,4/11/2022,6/2/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,52
31,State Farm Fire & Casualty Company,7052055,2/25/2023,3/17/2023,Homeowners,Hazard,Claim Handling,Claim Delays,Company Position Substantiated,Claim Paid,0,Closed,20
32,"Oxford Health Plans (CT), Inc",7051410,2/3/2023,3/17/2023,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,42
34,Progressive Direct Insurance Company,7052160,3/1/2023,3/17/2023,Individual Private Passenger,Rental Reimbursement,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0,Closed,16
36,Kemper Independence Insurance Company,7052065,2/27/2023,3/17/2023,Individual Private Passenger,Liability,Underwriting,Excessive Charges,Company Position Substantiated,Company Position Upheld,0,Closed,18
37,First American Title Insurance Company,7055051,6/13/2023,6/15/2023,Title,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,No Cause For Action,0,Closed,2
39,Citizens Insurance Company of America,7042884,2/9/2022,6/2/2022,Commercial Multi&ndash;Peril,Fire &ndash; Real Property,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0,Closed,113
43,CSAA General Insurance Company,7045113,5/12/2022,6/2/2022,Homeowners,Liability,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0,Closed,21
45,ACE American Insurance Company,7051644,2/13/2023,3/17/2023,General,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Corrective Action,0,Closed,32
51,"Anthem Health Plans, Inc",7053263,4/10/2023,5/2/2023,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0,Closed,22
52,"Anthem Health Plans, Inc",7045602,6/1/2022,6/3/2022,Group,Health Only,Claim Handling,Medically Necessary,Company Position Substantiated,Company Position Upheld,0,Closed,2
55,UnitedHealthcare Insurance Company,7049656,11/23/2022,1/25/2023,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0,Closed,63
57,"Anthem Health Plans, Inc",7049968,12/8/2022,12/13/2022,A & H,Medicare Supplement(Policies or Certs),PolicyHolder Service,Policy Information,No Action Requested/Required,Satisfactory Explanation,0,Closed,5
58,"Anthem Health Plans, Inc",7049689,11/28/2022,1/25/2023,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0,Closed,58
61,Transamerica Casualty Insurance Company,7052890,3/24/2023,5/2/2023,Individual,Long Term Care,Claim Handling,Claim Delay,Claim Settled,Claim Paid,25845.41,Closed,39
62,USAA Casualty Insurance Company,7054491,5/22/2023,6/15/2023,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Additional Money Received,1068,Closed,24
63,"Anthem Health Plans, Inc",7044602,4/22/2022,6/3/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,42
