ID,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
0,"Anthem Health Plans, Inc",7045593,2022-05-31,2022-06-02,Group,Health Only,Claim Handling,Medically Necessary,Company Position Substantiated,Company Position Upheld,0,Closed,2
1,"Anthem Health Plans, Inc",7043381,2022-02-28,2022-06-02,Group,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Satisfied,6467.3,Closed,94
2,"Anthem Health Plans, Inc",7044860,2022-05-03,2022-06-02,A & H,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,147.58,Closed,30
4,"Anthem Health Plans, Inc",7052007,2023-02-23,2023-03-17,A & H,A & H,Marketing & Sales,Duplicate Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed,22
5,Metropolitan Life Insurance Company,7053748,2023-04-26,2023-05-02,Individual,Long Term Care,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Rate Increase Explained,0,Closed,6
7,"Anthem Health Plans, Inc",7048359,2022-10-03,2023-03-08,A & H,Health Only,Claim Handling,Provider Contract Issue,Company Position Overturned,Company Position Upheld,51094.84,Closed,156
8,GEICO General Insurance Company,7054688,2023-05-30,2023-06-15,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,16
11,UnitedHealthcare Insurance Company,7052741,2023-03-17,2023-05-02,A & H,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,1550.78,Closed,46
12,"Anthem Health Plans, Inc",7044266,2022-04-07,2022-06-02,A & H,Health Exchange,Claim Handling,Surprise Billing,Claim Settled,Furnished Information,0,Closed,56
13,Western World Insurance Company,7042656,2022-02-03,2022-06-02,Commercial Multi&ndash;Peril,Fire &ndash; Real Property,Claim Handling,Claim Delays,Claim Settled,Corrective Action,311596.73,Closed,119
14,"Anthem Health Plans, Inc",7053777,2023-04-26,2023-06-15,Group,A & H,Claim Handling,External Review,Company Position Substantiated,Company Position Upheld,0,Closed,50
15,Bankers Life and Casualty Company,7000032,2020-01-10,2020-01-30,Individual Life,Liability,Claim Handling,Other,Company Position Substantiated,Justified,0,Closed,20
18,Continental Casualty Company,7053553,2023-04-19,2023-05-02,Individual,A & H,Claim Handling,Medical Necessity,Question of Fact/Contract/Provision/Legal Issue,Coverage Denied,0,Closed,13
19,Nationwide Mutual Insurance Company,7048101,2022-09-21,2023-03-17,Travel,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Additional Money Received,35.52,Closed,177
21,Cigna Health and Life Insurance Company,7013857,2019-01-23,2019-01-23,Group,Health Only,Claim Handling,UR Case Management,Company Position Substantiated,Furnished Information,0,Closed,0
24,ConnectiCare Inc,7052648,2023-03-15,2023-05-02,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Furnished Information,0,Closed,48
27,"Anthem Health Plans, Inc",7049406,2022-11-15,2023-06-15,A & H,Health Only,Claim Handling,CPT Code Issue,Company Position Substantiated,Justified,15753.38,Closed,212
30,"Anthem Health Plans, Inc",7044346,2022-04-11,2022-06-02,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,52
31,State Farm Fire & Casualty Company,7052055,2023-02-25,2023-03-17,Homeowners,Hazard,Claim Handling,Claim Delays,Company Position Substantiated,Claim Paid,0,Closed,20
32,"Oxford Health Plans (CT), Inc",7051410,2023-02-03,2023-03-17,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,42
34,Progressive Direct Insurance Company,7052160,2023-03-01,2023-03-17,Individual Private Passenger,Rental Reimbursement,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0,Closed,16
36,Kemper Independence Insurance Company,7052065,2023-02-27,2023-03-17,Individual Private Passenger,Liability,Underwriting,Excessive Charges,Company Position Substantiated,Company Position Upheld,0,Closed,18
37,First American Title Insurance Company,7055051,2023-06-13,2023-06-15,Title,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,No Cause For Action,0,Closed,2
39,Citizens Insurance Company of America,7042884,2022-02-09,2022-06-02,Commercial Multi&ndash;Peril,Fire &ndash; Real Property,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0,Closed,113
43,CSAA General Insurance Company,7045113,2022-05-12,2022-06-02,Homeowners,Liability,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0,Closed,21
45,ACE American Insurance Company,7051644,2023-02-13,2023-03-17,General,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Corrective Action,0,Closed,32
51,"Anthem Health Plans, Inc",7053263,2023-04-10,2023-05-02,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0,Closed,22
52,"Anthem Health Plans, Inc",7045602,2022-06-01,2022-06-03,Group,Health Only,Claim Handling,Medically Necessary,Company Position Substantiated,Company Position Upheld,0,Closed,2
55,UnitedHealthcare Insurance Company,7049656,2022-11-23,2023-01-25,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0,Closed,63
57,"Anthem Health Plans, Inc",7049968,2022-12-08,2022-12-13,A & H,Medicare Supplement(Policies or Certs),PolicyHolder Service,Policy Information,No Action Requested/Required,Satisfactory Explanation,0,Closed,5
58,"Anthem Health Plans, Inc",7049689,2022-11-28,2023-01-25,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0,Closed,58
61,Transamerica Casualty Insurance Company,7052890,2023-03-24,2023-05-02,Individual,Long Term Care,Claim Handling,Claim Delay,Claim Settled,Claim Paid,25845.41,Closed,39
62,USAA Casualty Insurance Company,7054491,2023-05-22,2023-06-15,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Additional Money Received,1068,Closed,24
63,"Anthem Health Plans, Inc",7044602,2022-04-22,2022-06-03,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,42
68,USAA General Indemnity Company,7052391,2023-03-09,2023-05-02,Individual Private Passenger,Liability,Underwriting,Cancellation,Company Position Substantiated,Company Position Upheld,0,Closed,54
70,"ConnectiCare Benefits, Inc.",7049743,2022-11-29,2022-12-13,A & H,A & H,Underwriting,Premium & Rating,Company Position Substantiated,Satisfactory Explanation,0,Closed,14
71,Genworth Life Insurance Company,7048480,2022-10-06,2022-10-27,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Rate Increase Explained,0,Closed,21
75,Mobilitas Insurance Company,7054656,2023-05-25,2023-06-15,Individual Private Passenger,Collision,Claim Handling,Storage Fees,Company Position Substantiated,Justified,1063.5,Closed,21
77,Guardian Life Insurance Company of America,7045183,2022-05-13,2022-06-03,Individual Private Passenger,Dental,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Company Position Upheld,0,Closed,21
80,Motor Club Insurance Company,7052889,2023-03-24,2023-06-15,Individual Private Passenger,Rental Reimbursement,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,83
82,Century&ndash;National Insurance Company,7043081,2022-02-16,2022-06-03,Homeowners,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0,Closed,107
84,"Anthem Health Plans, Inc",7047438,2022-08-23,2023-03-08,Individual,Health Only,Claim Handling,UR Procedure,Company Position Substantiated,Justified,28634.57,Closed,197
88,Progressive Direct Insurance Company,7048406,2022-10-04,2022-12-13,Motorhome,Comprehensive,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0,Closed,70
92,AmGUARD Insurance Company,7050547,2023-01-06,2023-01-25,Commercial,Collision,Claim Handling,Unsatisfactory Offer,Company Position Substantiated,Company Position Upheld,0,Closed,19
93,"Oxford Health Insurance, Incorporated",7045035,2022-05-10,2022-06-03,Group,Health Only,Claim Handling,Internal Appeal,Company Position Substantiated,Company Position Upheld,0,Closed,24
94,Farmers Property and Casualty Insurance Company,7054476,2023-05-19,2023-06-15,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,27
102,CSAA General Insurance Company,7051934,2023-02-22,2023-03-17,Homeowners,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0,Closed,23
107,Allstate Insurance Company,7045238,2022-05-16,2022-06-06,Individual Life,Term,Marketing & Sales,Marketing/Sales other,Company Position Substantiated,Contract Provision,0,Closed,21
109,Trumbull Insurance Company,7053886,2023-05-01,2023-05-02,Homeowners,Liability,Underwriting,Nonrenewal,Complaint Withdrawn,Company Position Upheld,0,Closed,1
110,New South Insurance Company,7052770,2023-03-20,2023-05-02,Individual Private Passenger,Collision,Claim Handling,Claim Procedure,Company Position Substantiated,Corrective Action,0,Closed,43
112,Cigna Health and Life Insurance Company,7045389,2022-05-20,2022-06-06,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Granted,0,Closed,17
113,American General Life Insurance Company,7045172,2022-05-13,2022-06-06,Individual Life,Term,Marketing & Sales,Premiums Misquoted,Company Position Substantiated,Contract Provision,0,Closed,24
117,Cigna Health and Life Insurance Company,7053163,2023-04-04,2023-05-02,Group,Health Only,Claim Handling,"Co&ndash;pay, Deductible, and Co&ndash;Insurance Issues",Company Position Substantiated,Company Position Upheld,0,Closed,28
118,"Anthem Health Plans, Inc",7043327,2022-02-24,2022-06-06,Group,Health Only,Claim Handling,Eligibility of Provider,Claim Settled,Claim Paid,16383.32,Closed,102
121,Lincoln Benefit Life Company,7045204,2022-05-16,2022-06-06,Individual Life,Fixed,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Claim Paid With Interest,0,Closed,21
134,GEICO Indemnity Company,7052011,2023-02-24,2023-03-17,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Company Position Substantiated,Company Position Upheld,0,Closed,21
140,"Anthem Health Plans, Inc",7052896,2023-03-25,2023-05-02,A & H,Liability,PolicyHolder Service,Credentialing Delay,Company Position Overturned,Provider Issue,0,Closed,38
141,State Farm Mutual Automobile Insurance Company,7053207,2023-04-05,2023-05-02,Individual Private Passenger,Comprehensive,Claim Handling,Adjuster Handling,Company Position Substantiated,Corrective Action,0,Closed,27
145,Century&ndash;National Insurance Company,7054675,2023-05-26,2023-06-15,Homeowners,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0,Closed,20
148,Nationwide Mutual Insurance Company,7045411,2022-05-23,2022-06-07,Travel,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,386.13,Closed,15
151,UnitedHealthcare Insurance Company,7051076,2023-01-23,2023-01-25,A & H,Health Only,Claim Handling,CPT Code Issue,Company Position Substantiated,Provider Issue,0,Closed,2
152,"Cigna HealthCare of Connecticut, Inc",7041960,2022-01-10,2022-06-07,Group,Liability,Claim Handling,CPT Code Issue,Company Position Substantiated,Claim Paid,0,Closed,148
153,Allstate Insurance Company,7045381,2022-05-19,2022-06-07,Homeowners,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,19
155,"Cigna HealthCare of Connecticut, Inc",7050680,2023-01-10,2023-01-25,Individual,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0,Closed,15
158,Cigna Health and Life Insurance Company,7040854,2021-11-14,2022-01-07,A & H,A & H,Claim Handling,Claim Delays,Company Position Substantiated,Furnished Information,0,Closed,54
167,GEICO General Insurance Company,7052124,2023-02-27,2023-03-17,Individual Private Passenger,Comprehensive,Claim Handling,Claim Delay,Company Position Substantiated,Justified,0,Closed,18
175,Liberty Mutual Personal Insurance Company,7044275,2022-04-07,2022-06-07,Commercial,Liability,PolicyHolder Service,Policy Service Other,Company Position Substantiated,Company Position Upheld,0,Closed,61
176,Cigna Health and Life Insurance Company,7051104,2023-01-24,2023-01-25,A & H,Liability,Claim Handling,Provider Contract Issue,Company Position Substantiated,Provider Issue,0,Closed,1
179,Cigna Health and Life Insurance Company,7012547,2019-02-20,2019-03-06,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,No Action Necessary,0,Closed,14
